Age (years),Length (cm),CI
1,996,26
2,1048,18
3,1093,14
4,1132,12
5,1167,11
6,1194,11
7,1218,11
8,1239,11
9,1256,10
10,1272,10
11,1285,9
12,1296,9
13,1306,9
14,1315,9
15,1322,9
16,1328,10
17,1333,10
18,1338,11
19,1342,12
20,1345,13
21,1348,14
22,1351,15
23,1353,15
24,1355,16
25,1357,17
26,1358,17
27,1359,18
28,1360,19
29,1361,19
30,1362,20
